time,open,high,low,close,volume
1768750200000,95054.27000000,95110.00000000,95028.40000000,95045.28000000,41.35614000
1768751100000,95045.28000000,95125.47000000,95042.07000000,95119.28000000,55.26476000
1768752000000,95119.27000000,95186.30000000,95073.02000000,95153.13000000,39.36817000
1768752900000,95153.13000000,95173.94000000,95082.26000000,95089.23000000,15.39356000
1768753800000,95089.24000000,95183.55000000,95089.00000000,95183.54000000,27.80014000
1768754700000,95183.55000000,95183.55000000,95122.80000000,95169.35000000,23.41934000
1768755600000,95169.35000000,95229.63000000,95140.61000000,95141.64000000,43.75903000
1768756500000,95141.64000000,95272.53000000,95141.64000000,95268.28000000,42.83560000
1768757400000,95268.28000000,95280.24000000,95195.27000000,95195.28000000,36.99732000
1768758300000,95195.28000000,95274.36000000,95195.27000000,95274.36000000,24.33400000
1768759200000,95274.35000000,95274.36000000,95181.11000000,95228.06000000,28.04245000
1768760100000,95228.05000000,95403.61000000,95180.90000000,95363.31000000,67.39662000
1768761000000,95363.30000000,95437.24000000,95300.00000000,95340.20000000,93.40778000
1768761900000,95340.20000000,95521.71000000,95340.20000000,95439.60000000,218.47650000
1768762800000,95439.60000000,95514.00000000,95430.77000000,95430.77000000,106.61766000
1768763700000,95430.78000000,95490.00000000,95380.00000000,95451.06000000,77.83840000
1768764600000,95451.07000000,95503.98000000,95412.86000000,95412.87000000,51.80006000
1768765500000,95412.86000000,95412.87000000,95333.99000000,95380.99000000,23.97580000
1768766400000,95380.99000000,95383.58000000,95285.20000000,95292.98000000,18.91115000
1768767300000,95292.99000000,95441.22000000,95292.99000000,95441.22000000,20.83170000
1768768200000,95441.22000000,95441.22000000,95299.58000000,95337.53000000,21.01001000
1768769100000,95337.53000000,95363.30000000,95304.00000000,95304.01000000,17.14948000
1768770000000,95304.01000000,95360.89000000,95284.23000000,95347.52000000,15.88079000
1768770900000,95347.52000000,95347.53000000,95300.00000000,95303.29000000,13.03765000
1768771800000,95303.29000000,95399.87000000,95303.29000000,95399.86000000,24.70122000
1768772700000,95399.86000000,95430.45000000,95380.00000000,95430.44000000,27.89811000
1768773600000,95430.45000000,95531.12000000,95412.86000000,95521.74000000,74.20167000
1768774500000,95521.73000000,95521.73000000,95465.97000000,95465.97000000,110.39233000
1768775400000,95465.98000000,95501.97000000,95423.25000000,95483.15000000,49.96943000
1768776300000,95483.15000000,95517.18000000,95450.00000000,95498.61000000,85.40122000
1768777200000,95498.60000000,95498.60000000,94966.55000000,95073.01000000,222.47298000
1768778100000,95073.02000000,95183.14000000,94578.01000000,94607.18000000,390.49754000
1768779000000,94607.17000000,94822.79000000,94444.00000000,94485.69000000,335.07666000
1768779900000,94485.69000000,94485.70000000,93615.40000000,93673.14000000,982.77162000
1768780800000,93673.14000000,93673.14000000,91910.20000000,92448.61000000,2410.98163000
1768781700000,92448.61000000,92815.57000000,92125.30000000,92638.36000000,1036.80795000
1768782600000,92638.35000000,93050.52000000,92269.55000000,92977.88000000,561.60090000
1768783500000,92977.89000000,92977.89000000,92700.48000000,92711.02000000,212.43665000
1768784400000,92711.02000000,92861.41000000,92504.00000000,92757.79000000,292.33720000
1768785300000,92757.79000000,92875.68000000,92564.41000000,92564.42000000,226.31536000
1768786200000,92564.41000000,92789.04000000,92518.54000000,92518.54000000,146.59689000
1768787100000,92518.55000000,92591.35000000,92247.97000000,92586.65000000,245.62140000
1768788000000,92586.65000000,92611.54000000,92400.00000000,92421.83000000,145.76858000
1768788900000,92421.82000000,92672.00000000,92383.94000000,92496.55000000,139.14006000
1768789800000,92496.55000000,92600.00000000,92453.36000000,92568.01000000,85.14283000
1768790700000,92568.00000000,92612.57000000,92500.00000000,92566.80000000,82.39117000
1768791600000,92566.80000000,92745.21000000,92550.58000000,92735.99000000,208.77137000
1768792500000,92736.00000000,92776.83000000,92500.00000000,92548.12000000,188.28544000
1768793400000,92548.12000000,92650.15000000,92515.62000000,92643.66000000,80.52109000
1768794300000,92643.65000000,92711.62000000,92615.29000000,92690.09000000,78.82397000
1768795200000,92690.08000000,92748.32000000,92603.19000000,92613.99000000,196.80007000
1768796100000,92614.00000000,92699.38000000,92502.58000000,92684.00000000,91.72245000
1768797000000,92684.01000000,92709.00000000,92558.30000000,92687.43000000,61.95868000
1768797900000,92687.43000000,92742.65000000,92659.65000000,92665.00000000,155.64467000
1768798800000,92665.00000000,92757.80000000,92658.48000000,92658.48000000,62.07107000
1768799700000,92658.49000000,92658.49000000,92573.31000000,92658.49000000,85.27126000
1768800600000,92658.48000000,92811.11000000,92590.00000000,92613.00000000,128.17314000
1768801500000,92612.99000000,92664.95000000,92504.24000000,92511.77000000,82.34510000
1768802400000,92511.77000000,92586.45000000,92419.96000000,92543.22000000,92.15928000
1768803300000,92543.22000000,92603.67000000,92385.07000000,92535.52000000,156.56521000
1768804200000,92535.53000000,92609.59000000,92473.37000000,92545.59000000,123.34297000
1768805100000,92545.59000000,92629.26000000,92545.59000000,92583.27000000,54.96122000
